ID,title,status,Dernière modification,is_global,themes,profiles,,link
,Réformer la SNCF,DONE,"Tues, 2 Jul 2019 12:40:50 +0100",,"Action publique,Mobilité,Territoire","Salarié,Retraité,Indépendant,Agent public,Agriculteur",à inclure sur OLDOLF,
,Poursuivre l'objectif de zéro artificialisation nette des sols,IN_PROGRESS,"Tues, 2 Jul 2019 12:40:50 +0100",,"Agriculture,Transition écologique",Agriculteur,à inclure sur OLDOLF,
,Lancer un plan national sur les abattoirs ,IN_PROGRESS,"Tues, 2 Jul 2019 12:40:50 +0100",,"Agriculture,Transition écologique",Agriculteur,à inclure sur OLDOLF,
,Diviser par deux le coût du permis national de chasse,DONE,"Tues, 2 Jul 2019 12:40:50 +0100",,"Agriculture,Pouvoir d'achat",Agriculteur,à inclure sur OLDOLF,
,Lutter contre les infox et le cyber-harcèlement,IN_PROGRESS,"Tues, 2 Jul 2019 12:40:50 +0100",,"Culture,Justice",,à inclure sur OLDOLF,
,Reconstruire Notre Dame de Paris avant 2022 ,IN_PROGRESS,"Tues, 2 Jul 2019 12:40:50 +0100",,Culture,,à inclure sur OLDOLF,
,Créer un loto du patrimoine ,DONE,"Tues, 2 Jul 2019 12:40:50 +0100",,Culture,,à inclure sur OLDOLF,
,Réformer le secteur de la distribution de la presse ,IN_PROGRESS,"Tues, 2 Jul 2019 12:40:50 +0100",,Culture,,à inclure sur OLDOLF,
,"Créer une ""Agence innovation défense"" ",DONE,"Tues, 2 Jul 2019 12:40:50 +0100",,"Défense,Industrie",,à inclure sur OLDOLF,
,Attribuer la carte d'ancien combattant au titre de la période 1962-1964 en Algérie,DONE,"Tues, 2 Jul 2019 12:40:50 +0100",,"Défense,Retraite",Retraité,à inclure sur OLDOLF,
,Augmenter l’allocation de reconnaissance au profit des harkis,DONE,"Tues, 2 Jul 2019 12:40:50 +0100",,"Défense,Retraite,pouvoir d'achat",Retraité,à inclure sur OLDOLF,
,Simplifier les moyens d’attribution des pensions militaires d’invalidité,DONE,"Tues, 2 Jul 2019 12:40:50 +0100",,"Défense,Retraite,pouvoir d'achat",Retraité,à inclure sur OLDOLF,
,"Mieux accompagner les militaires blessés (reconstruction psychologique, réinsertion professionnelle)",DONE,"Tues, 2 Jul 2019 12:40:50 +0100",,"Défense,Santé,Travail",Agent public ,à inclure sur OLDOLF,
,Lancer dans l’UE une coopération structurée permanente pour la sécurité et la défense ,DONE,"Tues, 2 Jul 2019 12:40:50 +0100",,"Défense,Europe",,à inclure sur OLDOLF,
,Lancer l’Initiative européenne d’intervention avec 10 Etats ,DONE,"Tues, 2 Jul 2019 12:40:50 +0100",,"Défense,Europe",,à inclure sur OLDOLF,
,Créer une Force européenne de protection civile pleinement opérationnelle (RescEU),DONE,"Tues, 2 Jul 2019 12:40:50 +0100",,"Défense,Europe",,à inclure sur OLDOLF,
,"Permettre aux majeurs protégés d'exercer pleinement leur citoyenneté (se marier, pacser, divorcer, voter)",DONE,"Tues, 2 Jul 2019 12:40:50 +0100",,"Dépendance,Handicap,Vie publique et politique,société",,à inclure sur OLDOLF,
,Généraliser les infirmières de nuit mutualisées en EHPAD,IN_PROGRESS,"Tues, 2 Jul 2019 12:40:50 +0100",,Dépendance ,Retraité,à inclure sur OLDOLF,
