"code","name","code_department"
"0601",Antibes-1,"06"
"0602",Antibes-2,"06"
"0603",Antibes-3,"06"
"0604",Beausoleil,"06"
"0605",Cagnes-sur-Mer-1,"06"
"0606",Cagnes-sur-Mer-2,"06"
"0607",Cannes-1,"06"
"0608",Cannes-2,"06"
"0609",Le Cannet,"06"
"0610",Contes,"06"
"0611",Grasse-1,"06"
"0612",Grasse-2,"06"
"0613",Mandelieu-la-Napoule,"06"
"0614",Menton,"06"
"0615",Nice-1,"06"
"0616",Nice-2,"06"
"0617",Nice-3,"06"
"0618",Nice-4,"06"
"0619",Nice-5,"06"
"0620",Nice-6,"06"
"0621",Nice-7,"06"
"0622",Nice-8,"06"
"0623",Nice-9,"06"
"0624",Tourrette-Levens,"06"
"0625",Valbonne,"06"
"0626",Vence,"06"
"0627",Villeneuve-Loubet,"06"
"0694",Antibes,"06"
"0695",Cagnes-sur-Mer,"06"
"0696",Cannes,"06"
"0697",Le Cannet,"06"
"0698",Grasse,"06"
"0699",Nice,"06"
"1301",Aix-en-Provence-1,"13"
"1302",Aix-en-Provence-2,"13"
"1303",Allauch,"13"
"1304",Arles,"13"
"1305",Aubagne,"13"
"1306",Berre-l'Étang,"13"
"1307",Châteaurenard,"13"
"1308",La Ciotat,"13"
"1309",Gardanne,"13"
"1310",Istres,"13"
"1311",Marignane,"13"
"1312",Marseille-1,"13"
"1313",Marseille-2,"13"
"1314",Marseille-3,"13"
"1315",Marseille-4,"13"
"1316",Marseille-5,"13"
"1317",Marseille-6,"13"
"1318",Marseille-7,"13"
"1319",Marseille-8,"13"
"1320",Marseille-9,"13"
"1321",Marseille-10,"13"
"1322",Marseille-11,"13"
"1323",Marseille-12,"13"
"1324",Martigues,"13"
"1325",Pélissanne,"13"
"1326",Salon-de-Provence-1,"13"
"1327",Salon-de-Provence-2,"13"
"1328",Trets,"13"
"1329",Vitrolles,"13"
"1397",Aix-en-Provence,"13"
"1398",Marseille,"13"
"1399",Salon-de-Provence,"13"
"5901",Aniche,"59"
"5902",Annœullin,"59"
"5903",Anzin,"59"
"5904",Armentières,"59"
"5905",Aulnoye-Aymeries,"59"
"5906",Aulnoy-lez-Valenciennes,"59"
"5907",Avesnes-sur-Helpe,"59"
"5908",Bailleul,"59"
"5909",Cambrai,"59"
"5910",Le Cateau-Cambrésis,"59"
"5911",Caudry,"59"
"5912",Coudekerque-Branche,"59"
"5913",Croix,"59"
"5914",Denain,"59"
"5915",Douai,"59"
"5916",Dunkerque-1,"59"
"5917",Dunkerque-2,"59"
"5918",Faches-Thumesnil,"59"
"5919",Fourmies,"59"
"5920",Grande-Synthe,"59"
"5921",Hazebrouck,"59"
"5922",Lambersart,"59"
"5923",Lille-1,"59"
"5924",Lille-2,"59"
"5925",Lille-3,"59"
"5926",Lille-4,"59"
"5927",Lille-5,"59"
"5928",Lille-6,"59"
"5929",Marly,"59"
"5930",Maubeuge,"59"
"5931",Orchies,"59"
"5932",Roubaix-1,"59"
"5933",Roubaix-2,"59"
"5934",Saint-Amand-les-Eaux,"59"
"5935",Sin-le-Noble,"59"
"5936",Templeuve,"59"
"5937",Tourcoing-1,"59"
"5938",Tourcoing-2,"59"
"5939",Valenciennes,"59"
"5940",Villeneuve-d'Ascq,"59"
"5941",Wormhout,"59"
"5996",Dunkerque,"59"
"5997",Lille,"59"
"5998",Roubaix,"59"
"5999",Tourcoing,"59"
"6901",Anse,"69"
"6902",L'Arbresle,"69"
"6903",Belleville,"69"
"6904",Le Bois-d'Oingt,"69"
