"id","code","name","code_department"
1,"200069193",CC de la Dombes,"01"
2,"240100883",CC de la Plaine de l'Ain,"01"
3,"200042497",CC Dombes Saône Vallée,"01"
4,"200040350",CC Bugey Sud,"01"
5,"200070852",CC Usses et Rhône,"01,74"
6,"200042935",CA Haut - Bugey Agglomération,"01"
7,"200071371",CC Bresse et Saône,"01"
8,"200071751",CA du Bassin de Bourg-en-Bresse,"01"
9,"240100610",CC de la Côtière à Montluel,"01"
10,"240100891",CC du Pays Bellegardien (CCPB),"01"
11,"200070555",CC de la Veyle,"01"
12,"240100800",CC de Miribel et du Plateau,"01"
13,"200029999",CC Rives de l'Ain - Pays du Cerdon,"01"
14,"240100750",CA du Pays de Gex,"01"
15,"200070118",CC Val de Saône Centre,"01"
16,"200040590",CA Villefranche Beaujolais Saône,"01,69"
17,"200070308",CA Mâconnais Beaujolais Agglomération,"01"
38,"200071363",CA Vichy Communauté,"03"
39,"200071496",CC du Bocage Bourbonnais,"03"
40,"240300558",CC du Pays de Tronçais,"03"
41,"240300491",CC du Pays de Lapalisse,"03"
42,"240300657",CC du Pays d'Huriel,"03"
43,"200071082",CA Montluçon Communauté,"03"
44,"200071140",CA Moulins Communauté,"03"
45,"240300566",CC du Val de Cher,"03"
46,"200071470",CC Entr'Allier Besbre et Loire,"03"
47,"200071389",CC Saint-Pourçain Sioule Limagne,"03"
48,"200071512",CC Commentry Montmarault Néris Communauté,"03"
49,"200071884",CC Le Grand Charolais,"03"
50,"200067437",CA Provence-Alpes-Agglomération,"04"
51,"200034700",CA Durance-Lubéron-Verdon Agglomération,"83,04"
52,"200068625",CC Alpes-Provence-Verdon - Sources de Lumière,"04"
53,"200071025",CC Haute-Provence-Pays de Banon,"04"
54,"200071033",CC Jabron-Lure-Vançon-Durance,"26,04"
55,"200068765",CC du Sisteronais-Buëch,"26,04,05"
56,"200072304",CC Vallée de l'Ubaye - Serre-Ponçon,"04"
57,"200040624",CC Pays d'Apt-Luberon,"84,04"
58,"200067825",CA Gap-Tallard-Durance,"05,04"
59,"240400440",CC Pays Forcalquier et Montagne de Lure,"04"
60,"200067320",CC Serre-Ponçon Val d'Avance,"05,04"
61,"200067742",CC Serre-Ponçon,"05,04"
62,"200067452",CC du Guillestrois et du Queyras,"05"
63,"200068096",CC Champsaur-Valgaudemar,"05"
64,"240500462",CC du Pays des Ecrins,"05"
65,"200067445",CC Buëch-Dévoluy,"05"
66,"240500439",CC du Briançonnais,"05"
67,"200039931",CC Alpes d'Azur,"06"
68,"200039857",CA du Pays de Grasse,"06"
69,"240600585",CA de Sophia Antipolis,"06"
70,"200030195",Métropole Nice Côte d'Azur,"06"
71,"240600551",CA de la Riviera Française,"06"
72,"240600593",CC du Pays des Paillons,"06"
73,"200039915",CA Cannes Pays de Lérins,"06"
74,"200041465",CC Val Eyrieux,"07"
75,"200073245",CC du Bassin d'Aubenas,"07"
76,"200071413",CA Privas Centre Ardèche,"07"
77,"200071405",CC Ardèche Rhône Coiron,"07"
78,"200041366",CC Rhône Crussol,"07"
79,"200040491",CC Porte de Drômardèche,"07,26"
80,"200072015",CA Annonay Rhône Agglo,"07"
81,"200073096",CA Arche Agglo,"07,26"
82,"200039832",CC Pays des Vans en Cévennes,"07"
83,"200072007",CC de la Montagne d'Ardèche,"07"
84,"200039808",CC des Gorges de l'Ardèche,"07"
85,"200039824",CC Ardèche des Sources et Volcans,"07"
86,"240700302",CC du Pays Beaume-Drobie,"07"
87,"240700815",CC Berg et Coiron,"07"
88,"240700864",CC du Rhône aux Gorges de l'Ardèche,"07"
89,"240700617",CC Val de Ligne,"07"
90,"200016905",CC du Pays de Lamastre,"07"
91,"240700716",CC du Val d'Ay,"07"
92,"200035129",CC de Cèze Cévennes,"07"
152,"200054807",Métropole d'Aix-Marseille-Provence,"84,13,83"
153,"241300417",CA d'Arles-Crau-Camargue-Montagnette,"13"
154,"241300375",CC Vallée des Baux-Alpilles (CC VBA),"13"
155,"200035087",CA Terre de Provence,"13"
172,"200066637",CC Hautes Terres Communauté,"15"
173,"200066660",CC Saint-Flour Communauté,"15"
174,"241501139",CC du Pays de Salers,"15"
175,"241501055",CC Sumène - Artense,"15"
176,"241500255",CC du Pays Gentiane,"15"
177,"241500271",CC du Pays de Mauriac,"15"
178,"200066678",CC de la Châtaigneraie Cantalienne,"15"
179,"241500230",CA du Bassin d'Aurillac,"15"
180,"241501089",CC Cère et Goul en Carladès,"15"
181,"246300966",CC du Massif du Sancy,"15,63"
311,"242600534",CC du Diois,"26"
312,"242600492",CC Dieulefit-Bourdeaux,"26"
313,"200068781",CA Valence Romans Agglo,"26"
314,"200040459",CA Montélimar Agglomération,"26"
315,"242600252",CC du Val de Drôme en Biovallée,"26"
316,"200040509",CC du Crestois et de Pays de Saillans Cœur de Drôme,"26"
317,"200068229",CC des Baronnies en Drôme Provençale,"26"
318,"200042901",CC Drôme Sud Provence,"26"
319,"200067767",CC du Royans-Vercors,"26"
320,"200040681",CC Enclave des Papes-Pays de Grignan,"84,26"
321,"200035723",CC Ventoux Sud,"84,26"
322,"248400335",CC Vaison Ventoux,"84,26"
346,"247800550",CC du Pays Houdanais (C.C.P.H.),"78"
394,"248400251",CA du Grand Avignon (COGA),"84"
520,"200068567",CC Les Vals du Dauphiné,"38"
521,"200018166",CC Le Grésivaudan,"38"
522,"200085751",CC d'Entre Bièvre et Rhône,"38"
523,"200070431",CC Saint-Marcellin Vercors Isère Communauté,"38"
524,"243800745",CC de l'Oisans,"38"
525,"200040657",CC de la Matheysine,"38"
526,"200068542",CC Les Balcons du Dauphiné,"38"
527,"243800935",CC Lyon Saint Exupéry en Dauphiné,"38"
528,"243801073",CC de Bièvre Est,"38"
529,"200059392",CC Bièvre Isère,"38"
530,"200030658",CC du Trièves,"38"
531,"243800984",CA du Pays Voironnais,"38"
532,"243801255",CC des Collines du Nord Dauphiné,"38"
533,"243800604",CA Porte de l'Isère (C.A.P.I),"38"
534,"200040715",Grenoble-Alpes-Métropole,"38"
535,"200077014",CA Vienne Condrieu,"38,69"
536,"243801024",CC du Massif du Vercors,"38"
537,"200040111",CC Cœur de Chartreuse,"73,38"
581,"244200770",Saint-Etienne Métropole,"42"
582,"200065886",CA Loire Forez Agglomération,"42"
583,"200035731",CA Roannais Agglomération,"42"
584,"200035202",CC Charlieu-Belmont,"42"
585,"200065894",CC de Forez-Est,"42"
586,"244200622",CC des Monts du Pilat,"42"
587,"244200895",CC du Pilat Rhodanien,"42"
588,"244200614",CC des Vals d'Aix et Isable,"42"
589,"244200820",CC du Pays d'Urfé,"42"
590,"200066587",CC des Monts du Lyonnais,"42,69"
591,"244200630",CC du Pays entre Loire et Rhône,"42"
592,"200085728",CC de Brioude Sud Auvergne,"43"
593,"200073419",CA du Puy-en-Velay,"43"
594,"200073401",CC Mézenc-Loire-Meygal,"43"
595,"244301123",CC des Pays de Cayres et de Pradelles,"43"
596,"200073393",CC des Rives du Haut-Allier,"43"
597,"244301016",CC des Sucs,"43"
598,"244301131",CC Loire et Semène,"43"
599,"244301099",CC Auzon Communauté,"43"
600,"200073427",CC Marches du Velay-Rochebaron,"43"
601,"244301107",CC du Haut-Lignon,"43"
602,"244300307",CC du Pays de Montfaucon,"43"
865,"200071199",CC Plaine Limagne,"63"
866,"200070761",CC Ambert Livradois Forez,"63"
867,"200072098",CC Combrailles Sioule et Morge,"63"
868,"200070407",CA Pays d'Issoire,"63"
869,"200070712",CC Thiers Dore et Montagne,"63"
870,"200072080",CC du Pays de Saint-Éloy,"63"
871,"246300701",Clermont Auvergne Métropole,"63"
872,"200069169",CC Dômes Sancy Artense,"63"
873,"200069177",CC Mond'Arverne Communauté,"63"
874,"200067627",CC Billom Communauté,"63"
875,"246301097",CC Entre Dore et Allier,"63"
876,"200071215",CC Chavanon Combrailles et Volcans,"63"
877,"200070753",CA Riom Limagne et Volcans,"63"
947,"200040566",CA de l'Ouest Rhodanien,"69"
948,"200067817",CC Saône-Beaujolais,"69"
949,"200046977",Métropole de Lyon,"69"
950,"200040574",CC Beaujolais Pierres Dorées,"69"
951,"246900625",CC du Pays de l'Arbresle (CCPA),"69"
952,"246900757",CC de la Vallée du Garon (CCVG),"69"
953,"246900724",CC des Vallons du Lyonnais (CCVL),"69"
954,"246900740",CC du Pays Mornantais (COPAMO),"69"
955,"246900765",CC du Pays de l'Ozon,"69"
956,"246900575",CC de l'Est Lyonnais (CCEL),"69"
1003,"247300668",CC du Lac d'Aiguebelette (CCLA),"73"
1004,"247300015",CC des Vallées d'Aigueblanche,"73"
1005,"200069110",CA du Grand Chambéry,"73"
1006,"247300817",CC Les Versants d'Aime,"73"
1007,"247300676",CC Porte de Maurienne,"73"
1008,"200068674",CA Grand Lac,"73"
1009,"200068997",CA Arlysère,"73"
1010,"200070464",CC Cœur de Maurienne Arvan,"73"
1011,"200040798",CC Val Vanoise,"73"
1012,"200041010",CC Cœur de Savoie,"73"
1013,"200070340",CC Haute-Maurienne Vanoise,"73"
1014,"247300528",CC Val Guiers,"73"
1015,"247300262",CC de Yenne,"73"
1016,"247300254",CC de Haute-Tarentaise,"73"
1017,"247300361",CC du Canton de la Chambre,"73"
1018,"200023299",CC Cœur de Tarentaise,"73"
1019,"247300452",CC Maurienne Galibier,"73"
1020,"200071967",CC Pays d'Évian Vallée d'Abondance,"74"
1021,"200066793",CA du Grand Annecy,"74"
1022,"247400617",CC des Vallées de Thônes,"74"
1023,"200067551",CA Thonon Agglomération,"74"
1024,"247400112",CC du Pays de Cruseilles,"74"
1025,"247400724",CC du Pays Rochois,"74"
1026,"200011773",CA Annemasse-les Voirons-Agglomération,"74"
1027,"200033116",CC Cluses-Arve et Montagnes,"74"
1028,"247400583",CC Arve et Salève,"74"
1029,"247400690",CC du Genevois,"74"
1030,"200000172",CC Faucigny-Glières,"74"
1031,"247400567",CC Fier et Usses,"74"
1032,"247400682",CC du Haut-Chablais,"74"
1033,"247400740",CC Rumilly Terre de Savoie,"74"
1034,"247400047",CC de la Vallée Verte,"74"
1035,"200023372",CC de la Vallée de Chamonix-Mont-Blanc,"74"
1036,"200034098",CC des Montagnes du Giffre,"74"
1037,"247400773",CC des Sources du Lac d'Annecy,"74"
1038,"200034882",CC Pays du Mont-Blanc,"74"
1039,"247400666",CC des Quatre Rivières,"74"
1040,"200054781",Métropole du Grand Paris,"91,92,93,94,95,75"
1058,"200072346",CA du Pays de Fontainebleau,"77"
1059,"200090504",CA Coulommiers Pays de Brie,"77"
1060,"200023240",CC Pays de Nemours,"77"
1061,"200070779",CC Brie des Rivières et Châteaux,"77"
1062,"200033090",CC Plaines et Monts de France,"77"
1063,"247700065",CC du Pays de l'Ourcq,"77"
1064,"200023919",CC Gâtinais Val de Loing,"77"
1065,"247700701",CC Brie Nangissienne,"77"
1066,"200037133",CC du Provinois,"77"
1067,"200040251",CC Bassée-Montois,"77"
1068,"247700339",CA Val d'Europe Agglomération,"77"
1069,"247700107",CC Pays de Montereau,"77"
1070,"200072130",CA du Pays de Meaux,"77"
1071,"200072544",CC des Deux Morin,"77"
1072,"200072874",CC Val Briard,"77"
1073,"247700057",CA Melun Val de Seine,"77"
1074,"247700644",CC l'Orée de la Brie,"91,77"
1075,"200057958",CA Paris - Vallée de la Marne,"77"
1076,"247700594",CA Marne et Gondoire,"77"
1077,"200059228",CA Grand Paris Sud Seine Essonne Sénart,"91,77"
1078,"247700032",CC Moret Seine et Loing,"77"
1079,"200055655",CA Roissy Pays de France,"77,95"
1080,"200023125",CC Les Portes Briardes entre Villes et Forêts,"77"
1081,"200073344",CA Rambouillet Territoires,"78"
1082,"200059889",CU Grand Paris Seine et Oise,"78"
1083,"200058519",CA Saint-Germain Boucles de Seine,"78,95"
1084,"200034130",CC Gally Mauldre,"78"
1085,"247800618",CC Cœur d'Yvelines,"78"
1086,"247800584",CA Versailles Grand Parc (C.A.V.G.P.),"91,78"
1087,"200071074",CC Les Portes de l'Ile de France,"78"
1088,"200033173",CC de la Haute Vallée de Chevreuse,"78"
1089,"200058782",CA de Saint-Quentin-en-Yvelines,"78"
1090,"249500109",CA de Cergy-Pontoise,"95,78"
1133,"200035319",CA Var Estérel Méditerranée (Cavem),"83"
1134,"200040210",CC Lacs et Gorges du Verdon,"83"
1135,"248300493",CA Dracénie Provence Verdon Agglomération,"83"
1136,"200040202",CC Provence Verdon,"83"
1137,"200004802",CC du Pays de Fayence,"83"
1138,"248300394",CA Sud Sainte-Baume,"83"
1139,"248300410",CC de la Vallée du Gapeau,"83"
1140,"248300550",CC Cœur du Var,"83"
1141,"200027100",CC Méditerranée Porte des Maures,"83"
1142,"200068104",CA de la Provence Verte,"83"
1143,"248300543",Métropole Toulon-Provence-Méditerranée,"83"
1144,"200036077",CC du Golfe de Saint-Tropez,"83"
1145,"248400293",CC des Sorgues du Comtat,"84"
1146,"248400285",CC Territoriale Sud-Luberon,"84"
1147,"248400053",CA Ventoux-Comtat-Venaissin (COVE),"84"
1148,"200040442",CA Luberon Monts de Vaucluse,"84"
1149,"200000628",CC Rhône Lez Provence,"84"
1150,"248400236",CC du Pays Réuni d'Orange,"84"
1151,"248400160",CC Aygues-Ouvèze en Provence (CCAOP),"84"
1152,"248400319",CC du Pays des Sorgues et des Monts de Vaucluse,"84"
1216,"200017846",CA Étampois Sud-Essonne (CCESE),"91"
1217,"249100074",CC du Pays de Limours (CCPL),"91"
1218,"200057859",CA Cœur d'Essonne Agglomération,"91"
1219,"249100546",CC du Val d'Essonne (CCVE),"91"
1220,"249100553",CC Entre Juine et Renarde (CCEJR),"91"
1221,"200056232",CA Communauté Paris-Saclay,"91"
1222,"249100157",CC des Deux Vallées,"91"
1223,"200058477",CA Val d'Yerres Val de Seine,"91"
1224,"249100595",CC Le Dourdannais en Hurepoix (CCDH),"91"
1225,"200035970",CC Vexin Centre,"95"
1226,"249500513",CC du Vexin-Val de Seine,"95"
1227,"200056380",CA Plaine Vallée,"95"
1228,"249500430",CC Sausseron Impressionnistes,"95"
1229,"200073013",CC Carnelle Pays-De-France,"95"
1230,"200058485",CA Val Parisis,"95"
1231,"249500489",CC du Haut Val d'Oise,"95"
1232,"249500455",CC de la Vallée de l'Oise et des Trois Forêts,"95"
