"code","name","code_department"
"200010700",CA Caux Seine Agglo,"76"
"200023125",CC Les Portes Briardes entre Villes et Forêts,"77"
"200023240",CC Pays de Nemours,"77"
"200023414",Métropole Rouen Normandie,"76"
"200023919",CC Gâtinais Val de Loing,"77"
"200030195",Métropole Nice Côte d'Azur,"06"
"200030633",CA du Caudrésis et du Catésis,"59"
"200033090",CC Plaines et Monts de France,"77"
"200035087",CA Terre de Provence,"13"
"200037133",CC du Provinois,"77"
"200039857",CA du Pays de Grasse,"06"
"200039915",CA Cannes Pays de Lérins,"06"
"200039931",CC Alpes d'Azur,"06"
"200040251",CC Bassée-Montois,"77"
"200040566",CA de l'Ouest Rhodanien,"69"
"200040574",CC Beaujolais Pierres Dorées,"69"
"200040590",CA Villefranche Beaujolais Saône,"69"
"200040947",CC de Flandre Intérieure,"59"
"200040954",CC des Hauts de Flandre,"59"
"200041960",CC Pévèle-Carembault,"59"
"200042190",CA de la Porte du Hainaut,"59"
"200043263",CC Cœur de l'Avesnois,"59"
"200043321",CC du Pays de Mormal,"59"
"200043396",CA Maubeuge Val de Sambre,"59"
"200043404",CC du Sud Avesnois,"59"
"200044618",CA du Douaisis Agglo,"59"
"200046977",Métropole de Lyon,"69"
"200054781",Métropole du Grand Paris,"92,93,94,75"
"200054807",Métropole d'Aix-Marseille-Provence,"13"
"200055655",CA Roissy Pays de France,"77"
"200057958",CA Paris - Vallée de la Marne,"77"
"200059228",CA Grand Paris Sud Seine Essonne Sénart,"77"
"200066405",CC Roumois Seine,"76"
"200066587",CC des Monts du Lyonnais,"69"
"200067817",CC Saône-Beaujolais,"69"
"200068500",CA de Cambrai,"59"
"200068534",CC Terroir de Caux,"76"
"200069722",CC Interrégionale Aumale - Blangy-sur-Bresle,"76"
"200069730",CC des Quatre Rivières,"76"
"200069821",CA Fécamp Caux Littoral Agglomération,"76"
"200069839",CC de la Côte d'Albâtre,"76"
"200069847",CC Plateau de Caux-Doudeville-Yerville,"76"
"200070068",CC Communauté Bray-Eawy,"76"
"200070449",CC Inter-Caux-Vexin,"76"
"200070779",CC Brie des Rivières et Châteaux,"77"
"200072130",CA du Pays de Meaux,"77"
"200072346",CA du Pays de Fontainebleau,"77"
"200072544",CC des Deux Morin,"77"
"200072874",CC Val Briard,"77"
"200077014",CA Vienne Condrieu,"69"
"200084952",CU du Havre Seine Métropole,"76"
"200090504",CA Coulommiers Pays de Brie,"77"
"240600551",CA de la Riviera Française,"06"
"240600585",CA de Sophia Antipolis,"06"
"240600593",CC du Pays des Paillons,"06"
"241300375",CC Vallée des Baux-Alpilles (CC VBA),"13"
"241300417",CA d'Arles-Crau-Camargue-Montagnette,"13"
"245900410",Métropole Européenne de Lille,"59"
"245900428",CU de Dunkerque,"59"
"245900758",CC Flandre Lys,"59"
"245901038",CC du Pays Solesmois,"59"
"245901061",CC de la Haute-Deûle,"59"
"245901152",CC Cœur d'Ostrevent,"59"
"245901160",CA Valenciennes Métropole,"59"
"246900575",CC de l'Est Lyonnais (CCEL),"69"
"246900625",CC du Pays de l'Arbresle (CCPA),"69"
"246900724",CC des Vallons du Lyonnais (CCVL),"69"
"246900740",CC du Pays Mornantais (COPAMO),"69"
"246900757",CC de la Vallée du Garon (CCVG),"69"
"246900765",CC du Pays de l'Ozon,"69"
"247600505",CC Campagne-de-Caux,"76"
"247600588",CC des Villes Sœurs,"76"
"247600604",CC de Londinières,"76"
"247600620",CC Yvetot Normandie,"76"
"247600646",CC Caux - Austreberthe,"76"
"247600729",CC Falaises du Talou,"76"
"247600786",CA de la Région Dieppoise,"76"
"247700032",CC Moret Seine et Loing,"77"
"247700057",CA Melun Val de Seine,"77"
"247700065",CC du Pays de l'Ourcq,"77"
"247700107",CC Pays de Montereau,"77"
"247700339",CA Val d'Europe Agglomération,"77"
"247700594",CA Marne et Gondoire,"77"
"247700644",CC l'Orée de la Brie,"77"
"247700701",CC Brie Nangissienne,"77"
