"code","name","postal_code","population","code_department","code_city_community","code_canton"
"01001",L'Abergement-Clémenciat,"01400",767,"01","200069193","0108"
"01002",L'Abergement-de-Varey,"01640",243,"01","240100883","0101"
"01004",Ambérieu-en-Bugey,"01500",14081,"01","240100883","0101"
"01005",Ambérieux-en-Dombes,"01330",1671,"01","200042497","0122"
"01006",Ambléon,"01300",110,"01","200040350","0104"
"01007",Ambronay,"01500",2684,"01","240100883","0101"
"01008",Ambutrix,"01500",750,"01","240100883","0101"
"01009",Andert-et-Condon,"01300",336,"01","200040350","0104"
"01010",Anglefort,"01350",1124,"01","200070852","0110"
"01011",Apremont,"01100",383,"01","200042935","0114"
"01012",Aranc,"01110",326,"01","200042935","0110"
"01013",Arandas,"01230",148,"01","240100883","0101"
"01014",Arbent,"01100",3379,"01","200042935","0115"
"01015",Arboys en Bugey,"01300",640,"01","200040350","0104"
"01016",Arbigny,"01190",462,"01","200071371","0117"
"01017",Argis,"01230",438,"01","240100883","0101"
"01019",Armix,"01510",26,"01","200040350","0110"
"01021",Ars-sur-Formans,"01480",1389,"01","200042497","0122"
"01022",Artemare,"01510",1227,"01","200040350","0110"
"01023",Asnières-sur-Saône,"01570",63,"01","200071371","0117"
"01024",Attignat,"01340",3270,"01","200071751","0102"
"01025",Bâgé-Dommartin,"01380",4088,"01","200071371","0117"
"01026",Bâgé-le-Châtel,"01380",915,"01","200071371","0117"
"01027",Balan,"01360",2856,"01","240100610","0112"
"01028",Baneins,"01990",596,"01","200069193","0122"
"01029",Beaupont,"01270",685,"01","200071751","0118"
"01030",Beauregard,"01480",885,"01","200042497","0121"
"01031",Bellignat,"01100",3618,"01","200042935","0114"
"01032",Béligneux,"01360",3314,"01","240100610","0112"
"01033",Valserhône,"01200",16302,"01","240100891","0103"
"01034",Belley,"01300",9133,"01","200040350","0104"
"01035",Belleydoux,"01130",317,"01","200042935","0114"
"01036",Valromey-sur-Séran,"01260",1299,"01","200040350","0110"
"01037",Bénonces,"01470",294,"01","240100883","0111"
"01038",Bény,"01370",762,"01","200071751","0118"
"01039",Béon,"01350",464,"01","200040350","0110"
"01040",Béréziat,"01340",494,"01","200071751","0102"
"01041",Bettant,"01500",750,"01","240100883","0101"
"01042",Bey,"01290",276,"01","200070555","0123"
"01043",Beynost,"01700",4557,"01","240100800","0113"
"01044",Billiat,"01200",611,"01","240100891","0103"
"01045",Birieux,"01330",285,"01","200069193","0122"
"01046",Biziat,"01290",857,"01","200070555","0123"
"01047",Blyes,"01150",993,"01","240100883","0111"
"01049",La Boisse,"01120",3021,"01","240100610","0113"
"01050",Boissey,"01190,01380",338,"01","200071371","0117"
"01051",Bolozon,"01450",89,"01","200042935","0116"
"01052",Bouligneux,"01330",319,"01","200069193","0122"
"01053",Bourg-en-Bresse,"01000",41365,"01","200071751","0105,0106,0199"
"01054",Bourg-Saint-Christophe,"01800",1325,"01","240100883","0112"
"01056",Boyeux-Saint-Jérôme,"01640",354,"01","200029999","0116"
"01057",Boz,"01190",515,"01","200071371","0117"
"01058",Brégnier-Cordon,"01300",849,"01","200040350","0104"
"01060",Brénod,"01110",522,"01","200042935","0110"
"01061",Brens,"01300",1169,"01","200040350","0104"
"01062",Bressolles,"01360",891,"01","240100610","0112"
"01063",Brion,"01460",515,"01","200042935","0114"
"01064",Briord,"01470",991,"01","240100883","0111"
"01065",Buellas,"01310",1767,"01","200071751","0102"
"01066",La Burbanche,"01510",71,"01","200040350","0104"
"01067",Ceignes,"01430",253,"01","200042935","0116"
"01068",Cerdon,"01450",785,"01","200029999","0116"
"01069",Certines,"01240",1532,"01","200071751","0107"
"01071",Cessy,"01170",4836,"01","240100750","0109"
"01072",Ceyzériat,"01250",3138,"01","200071751","0107"
"01073",Ceyzérieu,"01350",1012,"01","200040350","0104"
"01074",Chalamont,"01320",2406,"01","200069193","0107"
"01075",Chaleins,"01480",1296,"01","200070118","0122"
"01076",Chaley,"01230",137,"01","240100883","0110"
"01077",Challes-la-Montagne,"01450",193,"01","200029999","0116"
"01078",Challex,"01630",1450,"01","240100750","0120"
"01079",Champagne-en-Valromey,"01260",825,"01","200040350","0110"
"01080",Champdor-Corcelles,"01110",657,"01","200042935","0110"
"01081",Champfromier,"01410",729,"01","240100891","0103"
"01082",Chanay,"01420",633,"01","240100891","0103"
"01083",Chaneins,"01990",898,"01","200069193","0122"
"01084",Chanoz-Châtenay,"01400",833,"01","200070555","0123"
"01085",La Chapelle-du-Châtelard,"01240",387,"01","200069193","0108"
"01087",Charix,"01130",285,"01","200042935","0114"
