"zone";"id";"type"
zone_borough_75101;2072;borough
zone_borough_75102;2073;borough
zone_borough_75103;2074;borough
zone_borough_75104;2075;borough
zone_borough_75105;2076;borough
zone_borough_75106;2077;borough
zone_borough_75107;2078;borough
zone_borough_75108;2079;borough
zone_borough_75109;2080;borough
zone_borough_75110;2081;borough
zone_borough_75111;2082;borough
zone_borough_75112;2083;borough
zone_borough_75113;2084;borough
zone_borough_75114;2085;borough
zone_borough_75115;2086;borough
zone_borough_75116;2087;borough
zone_borough_75117;2088;borough
zone_borough_75118;2089;borough
zone_borough_75119;2090;borough
zone_borough_75120;2091;borough
zone_borough_13201;2092;borough
zone_borough_13202;2093;borough
zone_borough_13203;2094;borough
zone_borough_13204;2095;borough
zone_borough_13205;2096;borough
zone_borough_13206;2097;borough
zone_borough_13207;2098;borough
zone_borough_13208;2099;borough
zone_borough_13209;2100;borough
zone_borough_13210;2101;borough
zone_borough_13211;2102;borough
zone_borough_13212;2103;borough
zone_borough_13213;2104;borough
zone_borough_13214;2105;borough
zone_borough_13215;2106;borough
zone_borough_13216;2107;borough
zone_borough_13217;2108;borough
zone_borough_69381;2109;borough
zone_borough_69382;2110;borough
zone_borough_69383;2111;borough
zone_borough_69384;2112;borough
zone_borough_69385;2113;borough
zone_borough_69386;2114;borough
zone_borough_69387;2115;borough
zone_borough_69388;2116;borough
zone_borough_69389;2117;borough
zone_canton_5902;1024;canton
zone_canton_5903;1025;canton
zone_canton_5904;1026;canton
zone_canton_5905;1027;canton
zone_canton_5906;1028;canton
zone_canton_5907;1029;canton
zone_canton_5908;1030;canton
zone_canton_5909;1031;canton
zone_canton_5910;1032;canton
zone_canton_5911;1033;canton
zone_canton_5912;1034;canton
zone_canton_5913;1035;canton
zone_canton_5914;1036;canton
zone_canton_5915;1037;canton
zone_canton_5916;1038;canton
zone_canton_5917;1039;canton
zone_canton_5918;1040;canton
zone_canton_5919;1041;canton
zone_canton_5920;1042;canton
zone_canton_5921;1043;canton
zone_canton_5922;1044;canton
zone_canton_5923;1045;canton
zone_canton_5924;1046;canton
zone_canton_5925;1047;canton
zone_canton_5926;1048;canton
zone_canton_5927;1049;canton
zone_canton_5928;1050;canton
zone_canton_5929;1051;canton
zone_canton_5930;1052;canton
zone_canton_5931;1053;canton
zone_canton_5932;1054;canton
zone_canton_5933;1055;canton
zone_canton_5934;1056;canton
zone_canton_5935;1057;canton
zone_canton_5936;1058;canton
zone_canton_5937;1059;canton
zone_canton_5938;1060;canton
zone_canton_5939;1061;canton
zone_canton_5940;1062;canton
zone_canton_5941;1063;canton
zone_canton_5996;1064;canton
zone_canton_5997;1065;canton
zone_canton_5998;1066;canton
zone_canton_5999;1067;canton
zone_canton_6901;1068;canton
zone_canton_6902;1069;canton
zone_canton_6903;1070;canton
zone_canton_6904;1071;canton
zone_canton_6905;1072;canton
zone_canton_6906;1073;canton
zone_canton_6907;1074;canton
zone_canton_6908;1075;canton
zone_canton_6909;1076;canton
zone_canton_6910;1077;canton
zone_canton_6911;1078;canton
zone_canton_6912;1079;canton
zone_canton_6913;1080;canton
zone_canton_7601;1081;canton
zone_canton_7602;1082;canton
zone_canton_7603;1083;canton
zone_canton_7604;1084;canton
zone_canton_7605;1085;canton
zone_canton_7606;1086;canton
zone_canton_7607;1087;canton
zone_canton_7608;1088;canton
zone_canton_7609;1089;canton
zone_canton_7610;1090;canton
zone_canton_7611;1091;canton
zone_canton_7612;1092;canton
zone_canton_7613;1093;canton
zone_canton_7614;1094;canton
zone_canton_7615;1095;canton
zone_canton_7616;1096;canton
zone_canton_7617;1097;canton
zone_canton_7618;1098;canton
zone_canton_7619;1099;canton
zone_canton_7620;1100;canton
zone_canton_7621;1101;canton
zone_canton_7622;1102;canton
zone_canton_7623;1103;canton
zone_canton_7624;1104;canton
zone_canton_7625;1105;canton
zone_canton_7626;1106;canton
zone_canton_7627;1107;canton
zone_canton_7628;1108;canton
zone_canton_7629;1109;canton
zone_canton_7630;1110;canton
zone_canton_7631;1111;canton
zone_canton_7632;1112;canton
zone_canton_7633;1113;canton
zone_canton_7634;1114;canton
zone_canton_7635;1115;canton
zone_canton_7695;1116;canton
zone_canton_7696;1117;canton
zone_canton_7697;1118;canton
zone_canton_7698;1119;canton
zone_canton_7699;1120;canton
zone_canton_7701;1121;canton
zone_canton_7702;1122;canton
zone_canton_7703;1123;canton
zone_canton_7704;1124;canton
zone_canton_7705;1125;canton
zone_canton_7706;1126;canton
zone_canton_7707;1127;canton
zone_canton_7708;1128;canton
zone_canton_7709;1129;canton
zone_canton_7710;1130;canton
zone_canton_7711;1131;canton
zone_canton_7712;1132;canton
zone_canton_7713;1133;canton
zone_canton_7714;1134;canton
zone_canton_7715;1135;canton
zone_canton_7716;1136;canton
zone_canton_7717;1137;canton
zone_canton_7718;1138;canton
zone_canton_7719;1139;canton
zone_canton_7720;1140;canton
zone_canton_7721;1141;canton
zone_canton_7722;1142;canton
zone_canton_7723;1143;canton
zone_canton_9201;1144;canton
zone_canton_9202;1145;canton
zone_canton_9203;1146;canton
zone_canton_9204;1147;canton
zone_canton_9205;1148;canton
zone_canton_9206;1149;canton
zone_canton_9207;1150;canton
zone_canton_9208;1151;canton
zone_canton_9209;1152;canton
zone_canton_9210;1153;canton
zone_canton_9211;1154;canton
zone_canton_9212;1155;canton
zone_canton_9213;1156;canton
zone_canton_9214;1157;canton
zone_canton_9215;1158;canton
zone_canton_9216;1159;canton
zone_canton_9217;1160;canton
zone_canton_9218;1161;canton
zone_canton_9219;1162;canton
zone_canton_9220;1163;canton
zone_canton_9221;1164;canton
zone_canton_9222;1165;canton
zone_canton_9223;1166;canton
zone_canton_9295;1167;canton
zone_canton_9296;1168;canton
zone_canton_9297;1169;canton
zone_canton_9298;1170;canton
zone_canton_9299;1171;canton
zone_canton_9301;1172;canton
zone_canton_9302;1173;canton
zone_canton_9303;1174;canton
zone_canton_9304;1175;canton
zone_canton_9305;1176;canton
zone_canton_9306;1177;canton
zone_canton_9307;1178;canton
zone_canton_9308;1179;canton
zone_canton_9309;1180;canton
zone_canton_9310;1181;canton
zone_canton_9311;1182;canton
zone_canton_9312;1183;canton
zone_canton_9313;1184;canton
zone_canton_9314;1185;canton
zone_canton_9315;1186;canton
zone_canton_9316;1187;canton
zone_canton_9317;1188;canton
zone_canton_9318;1189;canton
zone_canton_9319;1190;canton
zone_canton_9320;1191;canton
zone_canton_9321;1192;canton
zone_canton_9395;1193;canton
zone_canton_9396;1194;canton
zone_canton_9397;1195;canton
zone_canton_9398;1196;canton
zone_canton_9399;1197;canton
zone_canton_9401;1198;canton
zone_canton_9402;1199;canton
zone_canton_9403;1200;canton
zone_canton_9404;1201;canton
zone_canton_9405;1202;canton
zone_canton_9406;1203;canton
zone_canton_9407;1204;canton
zone_canton_9408;1205;canton
zone_canton_9409;1206;canton
zone_canton_9410;1207;canton
zone_canton_9411;1208;canton
zone_canton_9412;1209;canton
zone_canton_9413;1210;canton
zone_canton_9414;1211;canton
zone_canton_9415;1212;canton
zone_canton_9416;1213;canton
zone_canton_0601;958;canton
zone_canton_9417;1214;canton
zone_canton_0602;959;canton
zone_canton_9418;1215;canton
zone_canton_0603;960;canton
zone_canton_9419;1216;canton
zone_canton_0604;961;canton
zone_canton_9420;1217;canton
zone_canton_0605;962;canton
zone_canton_9421;1218;canton
zone_canton_0606;963;canton
zone_canton_9422;1219;canton
zone_canton_0607;964;canton
zone_canton_9423;1220;canton
zone_canton_0608;965;canton
zone_canton_9424;1221;canton
zone_canton_0609;966;canton
zone_canton_9425;1222;canton
zone_canton_0610;967;canton
zone_canton_9493;1223;canton
zone_canton_0611;968;canton
zone_canton_9494;1224;canton
zone_canton_0612;969;canton
zone_canton_9495;1225;canton
zone_canton_0613;970;canton
zone_canton_9496;1226;canton
zone_canton_0614;971;canton
zone_canton_9497;1227;canton
zone_canton_0615;972;canton
zone_canton_9498;1228;canton
zone_canton_0616;973;canton
zone_canton_9499;1229;canton
zone_canton_0617;974;canton
zone_canton_0618;975;canton
zone_canton_0619;976;canton
zone_canton_0620;977;canton
zone_canton_0621;978;canton
zone_canton_0622;979;canton
zone_canton_0623;980;canton
zone_canton_0624;981;canton
zone_canton_0625;982;canton
zone_canton_0626;983;canton
zone_canton_0627;984;canton
zone_canton_0694;985;canton
zone_canton_0695;986;canton
zone_canton_0696;987;canton
zone_canton_0697;988;canton
zone_canton_0698;989;canton
zone_canton_0699;990;canton
zone_canton_1301;991;canton
zone_canton_1302;992;canton
zone_canton_1303;993;canton
zone_canton_1304;994;canton
zone_canton_1305;995;canton
zone_canton_1306;996;canton
zone_canton_1307;997;canton
zone_canton_1308;998;canton
zone_canton_1309;999;canton
zone_canton_1310;1000;canton
zone_canton_1311;1001;canton
zone_canton_1312;1002;canton
zone_canton_1313;1003;canton
zone_canton_1314;1004;canton
zone_canton_1315;1005;canton
zone_canton_1316;1006;canton
zone_canton_1317;1007;canton
zone_canton_1318;1008;canton
zone_canton_1319;1009;canton
zone_canton_1320;1010;canton
zone_canton_1321;1011;canton
zone_canton_1322;1012;canton
zone_canton_1323;1013;canton
zone_canton_1324;1014;canton
zone_canton_1325;1015;canton
zone_canton_1326;1016;canton
zone_canton_1327;1017;canton
zone_canton_1328;1018;canton
zone_canton_1329;1019;canton
zone_canton_1397;1020;canton
zone_canton_1398;1021;canton
zone_canton_1399;1022;canton
zone_canton_5901;1023;canton
zone_city_59284;1536;city
zone_city_76296;1792;city
zone_city_94048;2048;city
zone_city_59285;1537;city
zone_city_76302;1793;city
zone_city_94052;2049;city
zone_city_59286;1538;city
zone_city_76305;1794;city
zone_city_94053;2050;city
zone_city_59291;1539;city
zone_city_76312;1795;city
zone_city_94054;2051;city
zone_city_59292;1540;city
zone_city_76319;1796;city
zone_city_94055;2052;city
zone_city_59295;1541;city
zone_city_76322;1797;city
zone_city_94056;2053;city
zone_city_59299;1542;city
zone_city_76329;1798;city
zone_city_94058;2054;city
zone_city_59301;1543;city
zone_city_76341;1799;city
zone_city_94059;2055;city
zone_city_59302;1544;city
zone_city_76351;1800;city
zone_city_94060;2056;city
zone_city_59309;1545;city
zone_city_76366;1801;city
zone_city_94065;2057;city
zone_city_59314;1546;city
zone_city_76367;1802;city
zone_city_94067;2058;city
zone_city_59316;1547;city
zone_city_76377;1803;city
zone_city_94068;2059;city
zone_city_59317;1548;city
zone_city_76384;1804;city
zone_city_94069;2060;city
zone_city_59319;1549;city
zone_city_76401;1805;city
zone_city_94070;2061;city
zone_city_59322;1550;city
zone_city_76402;1806;city
zone_city_94071;2062;city
zone_city_59324;1551;city
zone_city_76410;1807;city
zone_city_94073;2063;city
zone_city_59327;1552;city
zone_city_76429;1808;city
zone_city_94074;2064;city
zone_city_59328;1553;city
zone_city_76447;1809;city
zone_city_94075;2065;city
zone_city_59329;1554;city
zone_city_76451;1810;city
zone_city_94076;2066;city
zone_city_59331;1555;city
zone_city_76452;1811;city
zone_city_94077;2067;city
zone_city_59335;1556;city
zone_city_76462;1812;city
zone_city_94078;2068;city
zone_city_59339;1557;city
zone_city_76474;1813;city
zone_city_94079;2069;city
zone_city_59340;1558;city
zone_city_76475;1814;city
zone_city_94080;2070;city
zone_city_59343;1559;city
zone_city_76476;1815;city
zone_city_94081;2071;city
zone_city_59346;1560;city
zone_city_76481;1816;city
zone_city_59350;1561;city
zone_city_76482;1817;city
zone_city_59352;1562;city
zone_city_76484;1818;city
zone_city_59359;1563;city
zone_city_76495;1819;city
zone_city_59360;1564;city
zone_city_76497;1820;city
zone_city_59361;1565;city
zone_city_76498;1821;city
zone_city_59365;1566;city
zone_city_76517;1822;city
zone_city_59367;1567;city
zone_city_76540;1823;city
zone_city_59368;1568;city
zone_city_76552;1824;city
zone_city_59369;1569;city
zone_city_76561;1825;city
zone_city_59375;1570;city
zone_city_76575;1826;city
zone_city_06004;1315;city
zone_city_59378;1571;city
zone_city_76591;1827;city
zone_city_06007;1316;city
zone_city_59383;1572;city
zone_city_76599;1828;city
zone_city_06010;1317;city
zone_city_59385;1573;city
zone_city_76618;1829;city
zone_city_06011;1318;city
zone_city_59386;1574;city
zone_city_76624;1830;city
zone_city_06012;1319;city
zone_city_59389;1575;city
zone_city_76640;1831;city
zone_city_06018;1320;city
zone_city_59390;1576;city
zone_city_76647;1832;city
zone_city_06027;1321;city
zone_city_59392;1577;city
zone_city_76655;1833;city
zone_city_06029;1322;city
zone_city_59398;1578;city
zone_city_76681;1834;city
zone_city_06030;1323;city
zone_city_59400;1579;city
zone_city_76705;1835;city
zone_city_06032;1324;city
zone_city_59410;1580;city
zone_city_76709;1836;city
zone_city_06033;1325;city
zone_city_59414;1581;city
