code;old;new
AF;e3ef6700-906e-11eb-a875-0242ac150002;943e2b28-872a-11eb-9419-42010a840019
CIRCO_FDE-11;e3ef6a14-906e-11eb-a875-0242ac150002;943e2ed7-872a-11eb-9419-42010a840019
FDE;e3ef6a98-906e-11eb-a875-0242ac150002;9497712a-872a-11eb-9419-42010a840019
ZA;e3ef6b05-906e-11eb-a875-0242ac150002;943e2f82-872a-11eb-9419-42010a840019
CIRCO_FDE-10;e3ef6b69-906e-11eb-a875-0242ac150002;943e2ff5-872a-11eb-9419-42010a840019
AL;e3ef6bcd-906e-11eb-a875-0242ac150002;943e3065-872a-11eb-9419-42010a840019
CIRCO_FDE-07;e3ef6c35-906e-11eb-a875-0242ac150002;943e30cd-872a-11eb-9419-42010a840019
DZ;e3ef6c97-906e-11eb-a875-0242ac150002;943e3131-872a-11eb-9419-42010a840019
CIRCO_FDE-09;e3ef6cfa-906e-11eb-a875-0242ac150002;943e319e-872a-11eb-9419-42010a840019
DE;e3ef6d5e-906e-11eb-a875-0242ac150002;943e3202-872a-11eb-9419-42010a840019
AD;e3ef6dc1-906e-11eb-a875-0242ac150002;943e3263-872a-11eb-9419-42010a840019
CIRCO_FDE-05;e3ef6e23-906e-11eb-a875-0242ac150002;943e3537-872a-11eb-9419-42010a840019
AO;e3ef6e85-906e-11eb-a875-0242ac150002;943e359c-872a-11eb-9419-42010a840019
AI;e3ef6ee7-906e-11eb-a875-0242ac150002;943e35fa-872a-11eb-9419-42010a840019
AQ;e3ef6f48-906e-11eb-a875-0242ac150002;943e3657-872a-11eb-9419-42010a840019
AG;e3ef6faf-906e-11eb-a875-0242ac150002;943e36b7-872a-11eb-9419-42010a840019
SA;e3ef7010-906e-11eb-a875-0242ac150002;943e3721-872a-11eb-9419-42010a840019
AR;e3ef7071-906e-11eb-a875-0242ac150002;943e377f-872a-11eb-9419-42010a840019
CIRCO_FDE-02;e3ef70d4-906e-11eb-a875-0242ac150002;943f87b8-872a-11eb-9419-42010a840019
AM;e3ef7136-906e-11eb-a875-0242ac150002;943f8a52-872a-11eb-9419-42010a840019
AW;e3ef7198-906e-11eb-a875-0242ac150002;943f8b13-872a-11eb-9419-42010a840019
AU;e3ef71fb-906e-11eb-a875-0242ac150002;943f8bba-872a-11eb-9419-42010a840019
AT;e3ef725c-906e-11eb-a875-0242ac150002;943f8e71-872a-11eb-9419-42010a840019
AZ;e3ef72bd-906e-11eb-a875-0242ac150002;943f8f09-872a-11eb-9419-42010a840019
BS;e3ef731e-906e-11eb-a875-0242ac150002;943f8f94-872a-11eb-9419-42010a840019
BH;e3ef737f-906e-11eb-a875-0242ac150002;943f9232-872a-11eb-9419-42010a840019
BD;e3ef73e1-906e-11eb-a875-0242ac150002;943f92b8-872a-11eb-9419-42010a840019
BB;e3ef7442-906e-11eb-a875-0242ac150002;943f9556-872a-11eb-9419-42010a840019
BE;e3ef74a4-906e-11eb-a875-0242ac150002;943f9850-872a-11eb-9419-42010a840019
CIRCO_FDE-04;e3ef7505-906e-11eb-a875-0242ac150002;943f9e94-872a-11eb-9419-42010a840019
BZ;e3ef7565-906e-11eb-a875-0242ac150002;943f9f05-872a-11eb-9419-42010a840019
BJ;e3ef75c7-906e-11eb-a875-0242ac150002;943f9f66-872a-11eb-9419-42010a840019
BM;e3ef7627-906e-11eb-a875-0242ac150002;943f9fd5-872a-11eb-9419-42010a840019
BT;e3ef7688-906e-11eb-a875-0242ac150002;943fa031-872a-11eb-9419-42010a840019
BY;e3ef76ea-906e-11eb-a875-0242ac150002;943fa198-872a-11eb-9419-42010a840019
BO;e3ef774b-906e-11eb-a875-0242ac150002;943fa1f6-872a-11eb-9419-42010a840019
BA;e3ef77ad-906e-11eb-a875-0242ac150002;943fa253-872a-11eb-9419-42010a840019
BW;e3ef7810-906e-11eb-a875-0242ac150002;943fa2b0-872a-11eb-9419-42010a840019
BR;e3ef7872-906e-11eb-a875-0242ac150002;943fa30c-872a-11eb-9419-42010a840019
BN;e3ef78d2-906e-11eb-a875-0242ac150002;943fa36a-872a-11eb-9419-42010a840019
BG;e3ef7933-906e-11eb-a875-0242ac150002;943fa3c6-872a-11eb-9419-42010a840019
BF;e3ef7994-906e-11eb-a875-0242ac150002;943fa422-872a-11eb-9419-42010a840019
BI;e3ef79f4-906e-11eb-a875-0242ac150002;943fa47d-872a-11eb-9419-42010a840019
KH;e3ef7a54-906e-11eb-a875-0242ac150002;943fa4d8-872a-11eb-9419-42010a840019
CM;e3ef7ab5-906e-11eb-a875-0242ac150002;943fa534-872a-11eb-9419-42010a840019
CA;e3ef7b15-906e-11eb-a875-0242ac150002;943fa58f-872a-11eb-9419-42010a840019
